ID, Font, Prediction, Actual, Confidence, Pass/Fail
0, Cookie-Regular, d, d, 0.978, PASS
1, Cookie-Regular, e, e, 0.924, PASS
2, Cookie-Regular, f, f, 1.000, PASS
3, Cookie-Regular, y, g, 0.516, FAIL
4, Cookie-Regular, h, h, 0.958, PASS
5, Cookie-Regular, i, i, 0.994, PASS
6, Cookie-Regular, j, j, 1.000, PASS
7, Cookie-Regular, k, k, 0.996, PASS
8, Cookie-Regular, t, l, 0.774, FAIL
9, Cookie-Regular, m, m, 1.000, PASS
10, Cookie-Regular, n, n, 0.675, PASS
11, Cookie-Regular, o, o, 0.916, PASS
12, Cookie-Regular, p, p, 0.989, PASS
13, Cookie-Regular, q, q, 0.990, PASS
14, Cookie-Regular, r, r, 0.986, PASS
15, Cookie-Regular, r, s, 0.958, FAIL
16, Cookie-Regular, l, t, 0.538, FAIL
17, Cookie-Regular, u, u, 0.925, PASS
18, Cookie-Regular, h, v, 0.716, FAIL
19, Cookie-Regular, w, w, 0.763, PASS
20, Cookie-Regular, x, x, 0.959, PASS
21, Cookie-Regular, y, y, 1.000, PASS
22, Cookie-Regular, M, z, 0.594, FAIL
23, Cookie-Regular, !, !, 1.000, PASS
24, Cookie-Regular, #, #, 1.000, PASS
25, Cookie-Regular, $, $, 0.754, PASS
26, Cookie-Regular, %, %, 0.621, PASS
27, Cookie-Regular, &, &, 1.000, PASS
28, Cookie-Regular, *, *, 1.000, PASS
29, Cookie-Regular, +, +, 1.000, PASS
30, Cookie-Regular, -, -, 1.000, PASS
31, Cookie-Regular, 0, 0, 1.000, PASS
32, Cookie-Regular, #, 1, 0.329, FAIL
33, Cookie-Regular, 2, 2, 0.962, PASS
34, Cookie-Regular, 3, 3, 0.913, PASS
35, Cookie-Regular, 4, 4, 1.000, PASS
36, Cookie-Regular, 5, 5, 0.568, PASS
37, Cookie-Regular, 6, 6, 0.507, PASS
38, Cookie-Regular, 7, 7, 0.883, PASS
39, Cookie-Regular, 8, 8, 0.939, PASS
40, Cookie-Regular, 9, 9, 1.000, PASS
41, Cookie-Regular, <, <, 1.000, PASS
42, Cookie-Regular, >, >, 1.000, PASS
43, Cookie-Regular, ?, ?, 0.986, PASS
44, Cookie-Regular, @, @, 1.000, PASS
45, Cookie-Regular, A, A, 0.996, PASS
46, Cookie-Regular, B, B, 0.986, PASS
47, Cookie-Regular, C, C, 0.963, PASS
48, Cookie-Regular, D, D, 0.970, PASS
49, Cookie-Regular, E, E, 0.842, PASS
50, Cookie-Regular, F, F, 0.908, PASS
51, Cookie-Regular, G, G, 1.000, PASS
52, Cookie-Regular, H, H, 0.864, PASS
53, Cookie-Regular, j, I, 0.682, FAIL
54, Cookie-Regular, J, J, 1.000, PASS
55, Cookie-Regular, K, K, 0.729, PASS
56, Cookie-Regular, L, L, 0.999, PASS
57, Cookie-Regular, M, M, 0.996, PASS
58, Cookie-Regular, N, N, 0.829, PASS
59, Cookie-Regular, O, O, 0.966, PASS
60, Cookie-Regular, P, P, 1.000, PASS
61, Cookie-Regular, Q, Q, 1.000, PASS
62, Cookie-Regular, R, R, 0.999, PASS
63, Cookie-Regular, S, S, 0.997, PASS
64, Cookie-Regular, T, T, 0.999, PASS
65, Cookie-Regular, u, U, 0.500, FAIL
66, Cookie-Regular, V, V, 0.972, PASS
67, Cookie-Regular, W, W, 0.995, PASS
68, Cookie-Regular, X, X, 0.922, PASS
69, Cookie-Regular, Y, Y, 0.997, PASS
70, Cookie-Regular, Z, Z, 1.000, PASS
71, Cookie-Regular, a, a, 0.946, PASS
72, Cookie-Regular, b, b, 0.557, PASS
73, Cookie-Regular, c, c, 0.999, PASS
74, DancingScript-Bold, d, d, 1.000, PASS
75, DancingScript-Bold, e, e, 0.984, PASS
76, DancingScript-Bold, f, f, 1.000, PASS
77, DancingScript-Bold, g, g, 0.993, PASS
78, DancingScript-Bold, h, h, 0.925, PASS
79, DancingScript-Bold, i, i, 0.998, PASS
80, DancingScript-Bold, j, j, 0.902, PASS
81, DancingScript-Bold, k, k, 0.990, PASS
82, DancingScript-Bold, l, l, 0.998, PASS
83, DancingScript-Bold, m, m, 1.000, PASS
84, DancingScript-Bold, n, n, 1.000, PASS
85, DancingScript-Bold, o, o, 0.998, PASS
86, DancingScript-Bold, p, p, 0.997, PASS
87, DancingScript-Bold, q, q, 1.000, PASS
88, DancingScript-Bold, r, r, 0.924, PASS
89, DancingScript-Bold, s, s, 0.911, PASS
90, DancingScript-Bold, t, t, 0.996, PASS
91, DancingScript-Bold, u, u, 0.998, PASS
92, DancingScript-Bold, v, v, 0.926, PASS
93, DancingScript-Bold, w, w, 1.000, PASS
94, DancingScript-Bold, x, x, 1.000, PASS
95, DancingScript-Bold, y, y, 0.836, PASS
96, DancingScript-Bold, z, z, 0.775, PASS
97, DancingScript-Bold, !, !, 0.778, PASS
98, DancingScript-Bold, #, #, 0.678, PASS
99, DancingScript-Bold, $, $, 0.996, PASS
100, DancingScript-Bold, %, %, 1.000, PASS
101, DancingScript-Bold, &, &, 1.000, PASS
102, DancingScript-Bold, *, *, 1.000, PASS
103, DancingScript-Bold, +, +, 0.999, PASS
104, DancingScript-Bold, -, -, 0.999, PASS
105, DancingScript-Bold, 0, 0, 0.999, PASS
106, DancingScript-Bold, 1, 1, 1.000, PASS
107, DancingScript-Bold, 2, 2, 1.000, PASS
108, DancingScript-Bold, 3, 3, 0.996, PASS
109, DancingScript-Bold, 4, 4, 0.874, PASS
